740;44;49;8;0
733;30;77;1;0
83;429;329;0;0
111;640;90;0;1
756;49;36;0;0
430;20;376;15;1
49;36;756;0;0
54;526;261;0;0
5;35;793;8;0
524;2;289;26;1
361;121;31;328;2
568;28;221;24;1
552;16;245;28;1
13;379;431;18;1
775;22;37;7;0
566;220;54;1;0
341;28;19;453;2
782;36;21;2;0
483;263;89;6;0
70;335;431;5;1
56;333;437;15;0
797;13;21;10;0
391;112;37;301;2
89;483;263;6;0
218;537;71;15;1
793;5;35;8;0
11;394;85;351;2
38;83;495;225;2
316;93;30;402;2
366;392;83;0;0
138;629;74;0;1
28;221;568;24;1
59;37;477;268;2
8;409;398;26;1
344;220;113;164;2
579;235;27;0;0
58;333;450;0;0
477;59;37;268;2
410;57;24;350;2
29;217;577;18;1
16;245;552;28;1
57;24;410;350;2
38;447;338;18;0
58;42;307;434;2
328;208;101;204;2
760;9;62;10;0
415;318;108;0;0
446;339;56;0;0
13;21;797;10;0
526;261;54;0;0
335;431;70;5;1
54;566;220;1;0
484;303;54;0;0
567;45;46;183;2
34;47;758;2;0
37;391;112;301;2
735;44;58;4;0
29;29;781;2;0
431;13;379;18;1
45;46;567;183;2
486;55;59;241;2
27;579;235;0;0
447;338;38;18;0
307;58;42;434;2
735;52;48;6;0
54;484;303;0;0
429;356;55;1;0
83;366;392;0;0
27;420;387;7;0
57;425;348;11;0
27;446;368;0;0
118;330;191;202;2
398;8;409;26;1
429;329;83;0;0
446;368;27;0;0
330;191;118;202;2
506;1;315;19;1
13;231;572;25;1
30;77;733;1;0
31;361;121;328;2
108;415;318;0;0
2;289;524;26;1
756;24;61;0;0
495;38;83;225;2
572;13;231;25;1
44;49;740;8;0
113;344;220;164;2
52;43;399;347;2
55;429;356;1;0
334;202;138;167;2
399;52;43;347;2
71;218;537;15;1
74;138;629;0;1
24;61;756;0;0
417;316;108;0;0
28;19;341;453;2
36;21;782;2;0
72;473;290;6;0
730;47;63;1;0
604;9;203;25;1
394;85;11;351;2
1;315;506;19;1
160;552;129;0;1
758;34;47;2;0
20;376;430;15;1
55;59;486;241;2
90;111;640;0;1
108;417;316;0;0
9;62;760;10;0
101;328;208;204;2
138;633;70;0;1
30;316;93;402;2
9;203;604;25;1
47;63;730;1;0
138;334;202;167;2
22;37;775;7;0
44;58;735;4;0
577;29;217;18;1
473;290;72;6;0
420;387;27;7;0
56;446;339;0;0
425;348;57;11;0
333;450;58;0;0
129;160;552;0;1
52;48;735;6;0
70;138;633;0;1
781;29;29;2;0
333;437;56;15;0
3;409;70;359;2
310;99;27;405;2
23;402;96;320;2
278;60;25;478;2
23;298;80;440;2
351;83;42;365;2
31;361;117;332;2
311;81;44;405;2
441;65;76;259;2
120;323;172;226;2
708;56;70;7;0
122;314;204;201;2
481;68;54;238;2
134;299;196;212;2
486;57;61;237;2
100;341;181;219;2
81;493;267;0;0
730;71;36;4;0
116;344;229;152;2
754;51;34;2;0
110;372;346;13;0
710;44;81;6;0
133;322;385;1;0
702;35;104;0;0
727;61;51;2;0
99;423;309;10;0
743;29;48;21;0
111;413;317;0;0
732;40;69;0;0
133;308;400;0;0
708;31;100;2;0
81;379;381;0;0
54;556;231;0;0
758;37;46;0;0
83;388;370;0;0
767;18;50;6;0
86;366;379;10;0
733;22;86;0;0
108;270;463;0;0
729;23;89;0;0
756;41;44;0;0
56;406;378;1;0
785;12;44;0;0
55;367;419;0;0
780;13;42;6;0
104;264;467;6;0
734;12;84;11;0
54;313;474;0;0
46;339;450;6;1
530;20;255;36;1
30;257;549;5;1
566;0;252;23;1
55;212;549;25;1
534;9;282;16;1
97;159;585;0;1
519;12;298;12;1
399;9;407;26;1
96;194;551;0;1
514;1;298;28;1
55;151;631;4;1
396;12;409;24;1
71;105;654;11;1
406;7;407;21;1
114;77;648;2;1
3;411;68;359;2
293;101;33;414;2
17;421;79;324;2
274;61;23;483;2
22;299;81;439;2
351;81;45;364;2
30;366;114;331;2
301;80;47;413;2
437;67;73;264;2
119;334;161;227;2
467;66;66;242;2
120;326;192;203;2
475;70;53;243;2
133;304;192;212;2
481;58;61;241;2
99;347;174;221;2
81;493;267;0;0
731;69;38;3;0
110;433;298;0;0
754;54;31;2;0
110;372;345;14;0
710;48;77;6;0
133;329;379;0;0
702;38;101;0;0
726;60;52;3;0
99;434;305;3;0
731;45;64;1;0
111;427;302;1;0
731;39;70;1;0
133;312;396;0;0
708;32;100;1;0
81;389;371;0;0
54;554;233;0;0
758;36;47;0;0
83;396;362;0;0
764;22;47;8;0
86;374;371;10;0
733;24;84;0;0
108;279;454;0;0
729;25;87;0;0
756;42;43;0;0
56;421;364;0;0
785;13;43;0;0
55;370;416;0;0
779;17;38;7;0
102;275;456;8;0
733;13;83;12;0
54;316;471;0;0
44;342;449;6;1
531;22;252;36;1
30;262;545;4;1
563;0;253;25;1
54;220;543;24;1
534;9;281;17;1
96;160;585;0;1
516;12;299;14;1
397;11;404;29;1
87;198;556;0;1
511;1;298;31;1
53;159;623;6;1
398;13;406;24;1
70;113;648;10;1
405;8;409;19;1
120;88;633;0;1
